Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,5,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,5204.0,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-76888681.92888889,"[-75806128.2, -17812504.3, -140491921.0, -15236538.7, -135096317.44444445]","[-75806128.2, -17812504.3, -140491921.0, -15236538.7, -135096317.44444445]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]",0:00:00.002984
1,maxwell,CART,grid search,KFold,5,0.892012599439111,-0.19638811675191836,8862.121794871795,320304785.28579056,17897.060800192598,1437.75,-20.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-45662653.18586914,"[-27018917.00694444, -31217895.18175, -79643565.57438271, -14285477.918367345, -76147410.24790123]","[-27018917.00694444, -31217895.18175, -79643565.57438271, -14285477.918367345, -76147410.24790123]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5515.5, 8752.0, 28989.5, 11900.0, 9700.0, 2862.25, 14000.0, 1790.3333333333333, 4753.0, 5515.5, 2862.25, 2862.25, 10204.0]",0:00:02.389955
1,maxwell,CART,grid search,RepeatedKFold,5,0.30958195874886285,-0.10871639971416047,8770.07525083612,296832744.64261305,17228.8346861479,3378.978260869565,-11.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-70664755.48783582,"[-101533662.04489794, -13801972.506509695, -23422979.141632654, -65159328.25585978, -164426446.70043015]","[-51447833.58310845, -224390791.78660718, -51475942.45070003, -23744624.648198493, -25919986.28901875, -11418314.519290123, -69123903.7722994, -146914205.42971942, -60561428.12686656, -21622067.85382424, -40493766.44876033, -26856268.83086419, -82262129.200277, -23931599.22299383, -199808470.15500945]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565]",0:00:00.445317
1,maxwell,CART,grid search,HoldOut,5,0.19619615605459917,-0.15377229405676007,10049.357142857143,308895400.86695445,17575.420361031323,5908.428571428572,-15.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-15873103.254595336,"[-101533662.04489794, -13801972.506509695, -20237477.5255355, -65159328.25585978, -164426446.70043015]",[-15873103.254595336],"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 5114.571428571428]",0:00:00.056111
1,maxwell,CART,grid search,RepeatedHoldOut,5,0.5294265167438293,-0.17413387048909446,9595.747252747253,314346734.1558085,17729.826117472458,6198.071428571429,-17.0,"{'model__max_depth': 2, 'model__max_features': None}",-21850648.111822493,"[-98820553.7684215, -23585841.20842014, -12742209.96048, -9344078.961358657, -169528703.0810185]","[-35273887.973812506, -9544454.118229166, -25603640.58211909, -26949507.84736828, -11881750.037583428]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 4186.75, 10818.07142857143, 4186.75, 4186.75, 4186.75]",0:00:00.177770
1,maxwell,CART,grid search,Bootstrap,5,0.19619615605459917,-0.15377229405676007,10049.357142857143,308895400.86695445,17575.420361031323,5908.428571428572,-15.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-71281787.74310829,"[-101533662.04489794, -13801972.506509695, -20237477.5255355, -65159328.25585978, -164426446.70043015]","[-113215712.50079231, -19225619.16612495, -96965592.10020694, -34533180.167688616, -49949822.09721383, -81022108.16581634, -32025599.942100637, -54681146.046019986, -42403840.129756525, -105507148.92638099, -47139404.30914421, -23244574.44345679, -24872319.345284443, -76696608.25359811, -80856029.24893114, -97628043.92462587, -130621350.01696172, -62741465.61959184, -63302462.27590389, -14942714.813760502, -24709870.81866055, -97804660.17369613, -43700429.01232179, -76217128.04353742, -80978075.46686849, -139131212.80246913, -31053924.18929191, -79877269.80099174, -37342099.47919869, -27421786.48848684, -61972723.87376013, -18920775.87877551, -71835951.47485037, -44373540.50320588, -131948786.45867448, -94870730.75900003, -76370287.9726652, -151247611.5912397, -31561226.521606646, -73847048.79077432, -62748929.015672505, -51617975.28658504, -73642187.09018737, -66920192.32374437, -56584664.568651974, -21855642.40026144, -76379057.31001891, -53724699.17120741, -71573234.62346451, -46406514.217519104]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 5114.571428571428]",0:00:01.511103
0,maxwell,CART,random search,,5,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,5204.0,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-76888681.92888889,"[-75806128.2, -17812504.3, -140491921.0, -15236538.7, -135096317.44444445]","[-75806128.2, -17812504.3, -140491921.0, -15236538.7, -135096317.44444445]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]",0:00:00.000999
1,maxwell,CART,random search,KFold,5,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,3105.0,-21.0,"{'model__max_depth': 10, 'model__max_features': 0.33266596424953077}",-56007828.02944444,"[-87296446.5, -18270828.1, -29340220.525, -17176995.8, -127954649.22222222]","[-87296446.5, -18270828.1, -29340220.525, -17176995.8, -127954649.22222222]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]",0:00:00.194734
1,maxwell,CART,random search,RepeatedKFold,5,0.30958195874886285,-0.10871639971416047,8770.07525083612,296832744.64261305,17228.8346861479,3378.978260869565,-11.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-70664755.48783582,"[-101533662.04489794, -13801972.506509695, -23422979.141632654, -65159328.25585978, -164426446.70043015]","[-51447833.58310845, -224390791.78660718, -51475942.45070003, -23744624.648198493, -25919986.28901875, -11418314.519290123, -69123903.7722994, -146914205.42971942, -60561428.12686656, -21622067.85382424, -40493766.44876033, -26856268.83086419, -82262129.200277, -23931599.22299383, -199808470.15500945]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565]",0:00:00.568510
1,maxwell,CART,random search,HoldOut,5,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,3105.0,-21.0,"{'model__max_depth': 26, 'model__max_features': 0.40919616423534183}",-16096419.3,"[-115797698.3, -18270828.1, -38922231.6, -17057624.9, -128013645.33333333]",[-16096419.3],"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]",0:00:00.066469
