Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,5,1.0,0.4328594889724824,5532.384615384615,60868419.0,7801.8215180815305,3152.0,43.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-120273791.28222223,"[-149034186.0, -419958336.8, -10112535.7, -9791645.8, -12472252.111111112]","[-149034186.0, -419958336.8, -10112535.7, -9791645.8, -12472252.111111112]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[1100.0, 7871.0, 3440.0, 5100.0, 7871.0, 7320.0, 21272.0, 583.0, 7320.0, 900.0, 5578.0, 7320.0, 7451.0]",0:00:00.003060
1,maxwell,CART,grid search,KFold,5,0.9800410235311974,0.4013283920485379,5800.7004662004665,64252497.51630819,8015.765560213708,4551.25,40.0,"{'model__max_depth': 5, 'model__max_features': None}",-89461062.36675629,"[-17155085.95761111, -402133725.239908, -7316510.351318027, -5564297.385777777, -15135692.899166664]","[-17155085.95761111, -402133725.239908, -7316510.351318027, -5564297.385777777, -15135692.899166664]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[1911.5, 6471.75, 3962.2727272727275, 4568.666666666667, 6471.75, 6471.75, 21272.0, 1911.5, 6471.75, 1911.5, 1911.5, 6471.75, 6471.75]",0:00:00.318681
1,maxwell,CART,grid search,RepeatedKFold,5,0.7087884815280008,0.31698396040405763,5871.382326007326,73304773.10909155,8561.820665553067,2658.875,32.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-110090562.3695788,"[-338866854.51049125, -436388677.78004515, -16648519.214902494, -20569922.367880292, -13469632.825424382]","[-16910978.245615106, -35515868.53942321, -85231506.88813776, -160637586.94795915, -179753907.50231484, -289635987.120271, -113553407.377, -17616133.73877551, -77433110.40493825, -29940475.666054413, -112477082.96108992, -174649621.46183434, -16627546.85705785, -304069272.48794204, -37305949.345268585]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[8712.57142857143, 8712.57142857143, 3621.875, 8712.57142857143, 8712.57142857143, 8712.57142857143, 15590.333333333334, 8712.57142857143, 3621.875, 3621.875, 8712.57142857143, 8712.57142857143, 8712.57142857143]",0:00:00.441929
1,maxwell,CART,grid search,HoldOut,5,0.159567391441913,0.0919759626112373,6600.942307692308,97453781.72635809,9871.868198388696,4239.416666666666,9.0,"{'model__max_depth': 2, 'model__max_features': 0.3}",-7362618.674605687,"[-50271944.43092593, -423341544.64936227, -12304418.353383264, -50555230.667342596, -80502225.068518]",[-7362618.674605687],"[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[9760.583333333334, 3568.8333333333335, 3568.8333333333335, 13733.0, 9760.583333333334, 9760.583333333334, 9760.583333333334, 9760.583333333334, 4053.5789473684213, 4053.5789473684213, 9760.583333333334, 3568.8333333333335, 9760.583333333334]",0:00:00.055311
1,maxwell,CART,grid search,RepeatedHoldOut,5,0.7319021390572911,0.3603082099430346,5604.383449883449,68654993.16475064,8285.830867496068,3209.242424242424,36.0,"{'model__max_depth': 2, 'model__max_features': None}",-117076520.52739188,"[-338866854.51049125, -484163361.04468596, -16648519.214902494, -13914307.961674761, -13469632.825424382]","[-7842352.604444444, -289635987.12027097, -112477082.96108992, -147147112.03456786, -28280067.91658632]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[4172.242424242424, 11017.083333333334, 4172.242424242424, 4172.242424242424, 11017.083333333334, 11017.083333333334, 15590.333333333334, 4172.242424242424, 11017.083333333334, 4172.242424242424, 4172.242424242424, 11017.083333333334, 11017.083333333334]",0:00:00.189897
1,maxwell,CART,grid search,Bootstrap,5,0.03593948829731619,-0.19896782875462837,7861.242073338848,128679356.78926668,11343.692378994887,4812.741935483871,-20.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-118830773.56172591,"[-47648538.170414194, -465827570.5015486, -31216576.652662724, -23395613.09534367, -39268555.92512958]","[-229785693.60245305, -250528862.0177402, -43637085.26293232, -28002831.348583438, -89716185.71921867, -64925291.04405252, -287628541.17650086, -147956747.33913562, -35089725.29741477, -189861813.71591693, -109969202.97256514, -34054513.13849925, -67626425.02325417, -80147871.33527574, -98521604.09894738, -94826691.8416171, -32988769.027364876, -25245117.91781341, -120918668.95851356, -254325995.40623975, -222235523.63838202, -39716610.93122874, -244583971.37068212, -36833934.58971674, -61627872.76896778, -42287022.07116331, -100059691.82263699, -41449824.30287269, -66467356.302913584, -27693822.048095703, -277628732.7650227, -200941403.86058027, -23504844.773218084, -158536260.85858586, -46697104.66588751, -196401055.71559915, -45513516.14301378, -197336707.65754384, -286073494.22139597, -96828479.37419017, -77056026.17687075, -100903560.8666556, -228380005.47988847, -233948005.71879047, -108061783.66689871, -209915157.52942976, -90240638.55418974, -220911360.8354549, -94830001.67777286, -252576448.5622675]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[6262.741935483871, 10344.944444444445, 10344.944444444445, 10344.944444444445, 6262.741935483871, 6262.741935483871, 6262.741935483871, 6262.741935483871, 6262.741935483871, 6262.741935483871, 6262.741935483871, 10344.944444444445, 6262.741935483871]",0:00:01.479398
0,maxwell,CART,random search,,5,1.0,0.4328594889724824,5532.384615384615,60868419.0,7801.8215180815305,3152.0,43.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-120273791.28222223,"[-149034186.0, -419958336.8, -10112535.7, -9791645.8, -12472252.111111112]","[-149034186.0, -419958336.8, -10112535.7, -9791645.8, -12472252.111111112]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[1100.0, 7871.0, 3440.0, 5100.0, 7871.0, 7320.0, 21272.0, 583.0, 7320.0, 900.0, 5578.0, 7320.0, 7451.0]",0:00:00.001999
1,maxwell,CART,random search,KFold,5,0.9969898121406641,-2.3810476004167573,12585.384615384615,362871313.1923077,19049.18143103025,7327.0,-238.0,"{'model__max_depth': 6, 'model__max_features': 0.44555916400773216}",-118018484.63295555,"[-73257913.075, -343869134.275, -109554076.43699999, -11630544.1, -51780755.277777776]","[-73257913.075, -343869134.275, -109554076.43699999, -11630544.1, -51780755.277777776]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[8117.0, 9125.0, 3440.0, 21272.0, 39479.0, 3102.5, 39479.0, 1100.0, 1248.0, 4778.0, 18500.0, 63694.0, 3102.5]",0:00:00.249583
1,maxwell,CART,random search,RepeatedKFold,5,0.7087884815280008,0.31698396040405763,5871.382326007326,73304773.10909155,8561.820665553067,2658.875,32.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-110090562.3695788,"[-338866854.51049125, -436388677.78004515, -16648519.214902494, -20569922.367880292, -13469632.825424382]","[-16910978.245615106, -35515868.53942321, -85231506.88813776, -160637586.94795915, -179753907.50231484, -289635987.120271, -113553407.377, -17616133.73877551, -77433110.40493825, -29940475.666054413, -112477082.96108992, -174649621.46183434, -16627546.85705785, -304069272.48794204, -37305949.345268585]","[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[8712.57142857143, 8712.57142857143, 3621.875, 8712.57142857143, 8712.57142857143, 8712.57142857143, 15590.333333333334, 8712.57142857143, 3621.875, 3621.875, 8712.57142857143, 8712.57142857143, 8712.57142857143]",0:00:00.581159
1,maxwell,CART,random search,HoldOut,5,0.159567391441913,0.0919759626112373,6600.942307692308,97453781.72635809,9871.868198388696,4239.416666666666,9.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-7362618.674605687,"[-50271944.43092593, -423341544.64936227, -12304418.353383264, -50555230.667342596, -80502225.068518]",[-7362618.674605687],"[9369.0, 1798.0, 963.0, 7184.0, 11023.0, 14000.0, 37286.0, 796.0, 4620.0, 1450.0, 4047.0, 11039.0, 25910.0]","[9760.583333333334, 3568.8333333333335, 3568.8333333333335, 13733.0, 9760.583333333334, 9760.583333333334, 9760.583333333334, 9760.583333333334, 4053.5789473684213, 4053.5789473684213, 9760.583333333334, 3568.8333333333335, 9760.583333333334]",0:00:00.057801
