Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,kitchenham,CART,grid search,,3,1.0,-0.6432292103826323,2256.0689655172414,14582314.48275862,3818.679677946112,1213.0,-64.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-212482690.60668564,"[-10013621.47368421, -269736302.18421054, -357698148.1621622]","[-10013621.47368421, -269736302.18421054, -357698148.1621622]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[1401.0, 464.0, 557.0, 2860.0, 1884.0, 1832.0, 4494.0, 6607.0, 2356.0, 1722.0, 2037.0, 3319.0, 585.0, 485.0, 2408.0, 313.0, 1631.0, 726.0, 583.0, 1280.0, 1884.0, 5646.0, 3088.0, 995.0, 557.0, 13635.0, 254.0, 2037.0, 485.0]",0:00:00.003000
1,kitchenham,CART,grid search,KFold,3,1.0,-0.3749506676555152,2428.5172413793102,12201561.965517242,3493.0734268717056,1439.0,-37.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-95111391.29421526,"[-7619340.868421053, -268545029.4736842, -9169803.54054054]","[-7619340.868421053, -268545029.4736842, -9169803.54054054]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[583.0, 4824.0, 220.0, 2860.0, 3088.0, 2224.0, 1860.0, 8656.0, 3826.0, 2029.0, 5456.0, 1280.0, 630.0, 4009.0, 3319.0, 313.0, 3966.0, 726.0, 990.0, 1280.0, 2172.0, 219.0, 583.0, 892.0, 322.0, 8509.0, 726.0, 1631.0, 1631.0]",0:00:00.239384
1,kitchenham,CART,grid search,RepeatedKFold,3,0.957295779109835,-0.1544971563255808,1953.011986653732,10245217.463648915,3200.8151248781796,1183.4117647058824,-15.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-97418912.59902535,"[-7554853.109319198, -292718782.6770156, -9798556.515765768]","[-276286427.5882748, -7197226.528334122, -2476217.6108047916, -8326396.475232198, -285640703.58768076, -5764715.766106548, -10157195.65813035, -5813100.566809357, -275108229.60985535]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 7476.666666666667, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825]",0:00:00.405768
1,kitchenham,CART,grid search,HoldOut,3,0.9616754687279063,-0.5800831998287286,2164.40620056944,14021945.315505195,3744.5888045959327,1169.9724770642201,-57.99999999999999,"{'model__max_depth': 2, 'model__max_features': None}",-454441711.11966944,"[-7009294.5409400305, -293186554.2016137, -357015314.47730637]",[-454441711.11966944],"[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 2157.97247706422, 13635.0, 2157.97247706422, 2157.97247706422, 2157.97247706422]",0:00:00.065394
1,kitchenham,CART,grid search,RepeatedHoldOut,3,0.957295779109835,-0.1544971563255808,1953.011986653732,10245217.463648915,3200.8151248781796,1183.4117647058824,-15.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-154174297.2254599,"[-7554853.109319198, -292718782.6770156, -9798556.515765768]","[-454657653.38563013, -3677858.3307460085, -4187379.9600036223]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 7476.666666666667, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825]",0:00:00.135154
1,kitchenham,CART,grid search,Bootstrap,3,0.042740802113849785,-0.6033797173295863,2454.8923169993955,14228682.843297496,3772.0926345064086,1427.5263157894738,-60.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-118711029.77474608,"[-16816951.26775874, -316101428.100335, -7931010.617082461]","[-301014687.68251806, -291471871.2054706, -5791481.569758949, -21338432.81581172, -9951554.159293232, -8586628.467723776, -282138973.4841976, -7558455.221941398, -6189062.893459542, -3061890.477325873, -9941280.494157847, -308659483.7564046, -18694465.14762584, -293052454.28792167, -6422924.093520434, -345365260.3787095, -8105973.702123648, -293247159.54366, -346632519.90050006, -3869568.448532756, -6742527.5126504265, -6269736.389268875, -242418929.01354837, -3373763.1906563523, -9124592.717870604, -305856855.136119, -577792332.0352471, -32342777.557162125, -9122119.881600277, -9097090.862455219, -321210772.7500001, -6665447.64260204, -270674195.29007035, -266209285.6598947, -4796355.322493225, -283703755.1581061, -6206023.160853995, -8937676.102890993, -3793882.3066054475, -9170816.849324198, -19368512.481861524, -300049048.45681065, -11660886.534342956, -279381772.64372975, -9067743.154706867, -9159540.650813494, -291699967.68368405, -235103438.7381818, -3608643.5589697803, -6266235.544159544]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[2323.5263157894738, 2323.5263157894738, 8380.222222222223, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 8380.222222222223, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 8380.222222222223, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738, 2323.5263157894738]",0:00:01.525019
0,kitchenham,CART,random search,,3,1.0,-0.6432292103826323,2256.0689655172414,14582314.48275862,3818.679677946112,1213.0,-64.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-212482690.60668564,"[-10013621.47368421, -269736302.18421054, -357698148.1621622]","[-10013621.47368421, -269736302.18421054, -357698148.1621622]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[1401.0, 464.0, 557.0, 2860.0, 1884.0, 1832.0, 4494.0, 6607.0, 2356.0, 1722.0, 2037.0, 3319.0, 585.0, 485.0, 2408.0, 313.0, 1631.0, 726.0, 583.0, 1280.0, 1884.0, 5646.0, 3088.0, 995.0, 557.0, 13635.0, 254.0, 2037.0, 485.0]",0:00:00.003000
1,kitchenham,CART,random search,KFold,3,0.9703741487275684,-0.1080753224038975,1758.1545674531155,9833261.677544827,3135.8031949637443,1002.9411764705883,-11.0,"{'model__max_depth': 4, 'model__max_features': 0.7185299851677596}",-94740276.14922906,"[-7306198.02835804, -267206378.61236706, -9708251.80696216]","[-7306198.02835804, -267206378.61236706, -9708251.80696216]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[2516.1403508771928, 2516.1403508771928, 1430.142857142857, 2516.1403508771928, 2516.1403508771928, 2516.1403508771928, 2516.1403508771928, 2516.1403508771928, 2516.1403508771928, 1439.9411764705883, 2516.1403508771928, 1439.9411764705883, 2516.1403508771928, 2516.1403508771928, 1439.9411764705883, 1430.142857142857, 2516.1403508771928, 1439.9411764705883, 2516.1403508771928, 1439.9411764705883, 2516.1403508771928, 1439.9411764705883, 2516.1403508771928, 1439.9411764705883, 317.5, 286.0, 1439.9411764705883, 2516.1403508771928, 2516.1403508771928]",0:00:00.143945
1,kitchenham,CART,random search,RepeatedKFold,3,0.9572987843317319,-0.15391530780959517,1951.5840829585209,10240054.034233335,3200.008442837821,1161.467391304348,-15.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-97316831.60964434,"[-7059637.641229378, -292718782.6770156, -9798556.515765768]","[-276299868.3762336, -8554122.804705216, -2376693.1707697664, -8326396.475232198, -286588441.29206544, -5768827.822665383, -9281804.638113141, -4296451.147337731, -274358878.7596764]","[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2204.0, 2149.467391304348, 2204.0, 2204.0, 2149.467391304348, 2149.467391304348, 2149.467391304348, 2149.467391304348, 7476.666666666667, 2149.467391304348, 2149.467391304348, 2149.467391304348]",0:00:00.326922
1,kitchenham,CART,random search,HoldOut,3,0.957295779109835,-0.1544971563255808,1953.011986653732,10245217.463648915,3200.8151248781796,1183.4117647058824,-15.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-454657653.38563013,"[-7554853.109319198, -292718782.6770156, -9798556.515765768]",[-454657653.38563013],"[3483, 1024, 1455, 5927, 1868, 887, 5816, 5249, 1143, 437, 896, 580, 2203, 2570, 15673, 989, 570, 5094, 1584, 1557, 1877, 1113, 1428, 5359, 988, 1650, 693, 2393, 1159]","[2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825, 2171.4117647058824, 7476.666666666667, 2155.4891304347825, 2155.4891304347825, 2155.4891304347825]",0:00:00.081850
